case_id,text,summary
TR_018,"This is the full text of legal case 18. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 18: A brief overview of the contract law issues and court's judgment.
TR_019,"This is the full text of legal case 19. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 19: A brief overview of the contract law issues and court's judgment.
TR_020,"This is the full text of legal case 20. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 20: A brief overview of the contract law issues and court's judgment.
TR_021,"This is the full text of legal case 21. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 21: A brief overview of the contract law issues and court's judgment.
TR_022,"This is the full text of legal case 22. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 22: A brief overview of the contract law issues and court's judgment.
TR_023,"This is the full text of legal case 23. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 23: A brief overview of the contract law issues and court's judgment.
TR_024,"This is the full text of legal case 24. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 24: A brief overview of the contract law issues and court's judgment.
TR_025,"This is the full text of legal case 25. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 25: A brief overview of the contract law issues and court's judgment.
TR_026,"This is the full text of legal case 26. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 26: A brief overview of the contract law issues and court's judgment.
TR_027,"This is the full text of legal case 27. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 27: A brief overview of the contract law issues and court's judgment.
TR_028,"This is the full text of legal case 28. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 28: A brief overview of the contract law issues and court's judgment.
TR_029,"This is the full text of legal case 29. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 29: A brief overview of the contract law issues and court's judgment.
TR_030,"This is the full text of legal case 30. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 30: A brief overview of the contract law issues and court's judgment.
TR_031,"This is the full text of legal case 31. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 31: A brief overview of the contract law issues and court's judgment.
TR_032,"This is the full text of legal case 32. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 32: A brief overview of the contract law issues and court's judgment.
TR_033,"This is the full text of legal case 33. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 33: A brief overview of the contract law issues and court's judgment.
TR_034,"This is the full text of legal case 34. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 34: A brief overview of the contract law issues and court's judgment.
TR_035,"This is the full text of legal case 35. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 35: A brief overview of the contract law issues and court's judgment.
TR_036,"This is the full text of legal case 36. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 36: A brief overview of the contract law issues and court's judgment.
TR_037,"This is the full text of legal case 37. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 37: A brief overview of the contract law issues and court's judgment.
TR_038,"This is the full text of legal case 38. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 38: A brief overview of the contract law issues and court's judgment.
TR_039,"This is the full text of legal case 39. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 39: A brief overview of the contract law issues and court's judgment.
TR_040,"This is the full text of legal case 40. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 40: A brief overview of the contract law issues and court's judgment.
TR_041,"This is the full text of legal case 41. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 41: A brief overview of the contract law issues and court's judgment.
TR_042,"This is the full text of legal case 42. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 42: A brief overview of the contract law issues and court's judgment.
TR_043,"This is the full text of legal case 43. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 43: A brief overview of the contract law issues and court's judgment.
TR_044,"This is the full text of legal case 44. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 44: A brief overview of the contract law issues and court's judgment.
TR_045,"This is the full text of legal case 45. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 45: A brief overview of the contract law issues and court's judgment.
TR_046,"This is the full text of legal case 46. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 46: A brief overview of the contract law issues and court's judgment.
TR_047,"This is the full text of legal case 47. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 47: A brief overview of the contract law issues and court's judgment.
TR_048,"This is the full text of legal case 48. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 48: A brief overview of the contract law issues and court's judgment.
TR_049,"This is the full text of legal case 49. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 49: A brief overview of the contract law issues and court's judgment.
TR_050,"This is the full text of legal case 50. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 50: A brief overview of the contract law issues and court's judgment.
TR_051,"This is the full text of legal case 51. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 51: A brief overview of the contract law issues and court's judgment.
TR_052,"This is the full text of legal case 52. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 52: A brief overview of the contract law issues and court's judgment.
TR_053,"This is the full text of legal case 53. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 53: A brief overview of the contract law issues and court's judgment.
TR_054,"This is the full text of legal case 54. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 54: A brief overview of the contract law issues and court's judgment.
TR_055,"This is the full text of legal case 55. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 55: A brief overview of the contract law issues and court's judgment.
TR_056,"This is the full text of legal case 56. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 56: A brief overview of the contract law issues and court's judgment.
TR_057,"This is the full text of legal case 57. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 57: A brief overview of the contract law issues and court's judgment.
TR_058,"This is the full text of legal case 58. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 58: A brief overview of the contract law issues and court's judgment.
TR_059,"This is the full text of legal case 59. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 59: A brief overview of the contract law issues and court's judgment.
TR_060,"This is the full text of legal case 60. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 60: A brief overview of the contract law issues and court's judgment.
TR_061,"This is the full text of legal case 61. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 61: A brief overview of the contract law issues and court's judgment.
TR_062,"This is the full text of legal case 62. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 62: A brief overview of the contract law issues and court's judgment.
TR_063,"This is the full text of legal case 63. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 63: A brief overview of the contract law issues and court's judgment.
TR_064,"This is the full text of legal case 64. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 64: A brief overview of the contract law issues and court's judgment.
TR_065,"This is the full text of legal case 65. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 65: A brief overview of the contract law issues and court's judgment.
TR_066,"This is the full text of legal case 66. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 66: A brief overview of the contract law issues and court's judgment.
TR_067,"This is the full text of legal case 67. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 67: A brief overview of the contract law issues and court's judgment.
TR_068,"This is the full text of legal case 68. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 68: A brief overview of the contract law issues and court's judgment.
TR_069,"This is the full text of legal case 69. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 69: A brief overview of the contract law issues and court's judgment.
TR_070,"This is the full text of legal case 70. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 70: A brief overview of the contract law issues and court's judgment.
TR_071,"This is the full text of legal case 71. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 71: A brief overview of the contract law issues and court's judgment.
TR_072,"This is the full text of legal case 72. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 72: A brief overview of the contract law issues and court's judgment.
TR_073,"This is the full text of legal case 73. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 73: A brief overview of the contract law issues and court's judgment.
TR_074,"This is the full text of legal case 74. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 74: A brief overview of the contract law issues and court's judgment.
TR_075,"This is the full text of legal case 75. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 75: A brief overview of the contract law issues and court's judgment.
TR_076,"This is the full text of legal case 76. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 76: A brief overview of the contract law issues and court's judgment.
TR_077,"This is the full text of legal case 77. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 77: A brief overview of the contract law issues and court's judgment.
TR_078,"This is the full text of legal case 78. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 78: A brief overview of the contract law issues and court's judgment.
TR_079,"This is the full text of legal case 79. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 79: A brief overview of the contract law issues and court's judgment.
TR_080,"This is the full text of legal case 80. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 80: A brief overview of the contract law issues and court's judgment.
TR_081,"This is the full text of legal case 81. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 81: A brief overview of the contract law issues and court's judgment.
TR_082,"This is the full text of legal case 82. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 82: A brief overview of the contract law issues and court's judgment.
TR_083,"This is the full text of legal case 83. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 83: A brief overview of the contract law issues and court's judgment.
TR_084,"This is the full text of legal case 84. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 84: A brief overview of the contract law issues and court's judgment.
TR_085,"This is the full text of legal case 85. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 85: A brief overview of the contract law issues and court's judgment.
TR_086,"This is the full text of legal case 86. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 86: A brief overview of the contract law issues and court's judgment.
TR_087,"This is the full text of legal case 87. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 87: A brief overview of the contract law issues and court's judgment.
TR_088,"This is the full text of legal case 88. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 88: A brief overview of the contract law issues and court's judgment.
TR_089,"This is the full text of legal case 89. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 89: A brief overview of the contract law issues and court's judgment.
TR_090,"This is the full text of legal case 90. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 90: A brief overview of the contract law issues and court's judgment.
TR_091,"This is the full text of legal case 91. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 91: A brief overview of the contract law issues and court's judgment.
TR_092,"This is the full text of legal case 92. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 92: A brief overview of the contract law issues and court's judgment.
TR_093,"This is the full text of legal case 93. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 93: A brief overview of the contract law issues and court's judgment.
TR_094,"This is the full text of legal case 94. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 94: A brief overview of the contract law issues and court's judgment.
TR_095,"This is the full text of legal case 95. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 95: A brief overview of the contract law issues and court's judgment.
TR_096,"This is the full text of legal case 96. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 96: A brief overview of the contract law issues and court's judgment.
TR_097,"This is the full text of legal case 97. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 97: A brief overview of the contract law issues and court's judgment.
TR_098,"This is the full text of legal case 98. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 98: A brief overview of the contract law issues and court's judgment.
TR_099,"This is the full text of legal case 99. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 99: A brief overview of the contract law issues and court's judgment.
TR_100,"This is the full text of legal case 100. It discusses various legal principles and precedents related to contract law, negligence, and liability.",Summary of legal case 100: A brief overview of the contract law issues and court's judgment.
